,AveBedrms,AveOccup,AveRooms,HouseAge,Latitude,Longitude,MedInc,Population,target
0,1.0982759745584811,3.0,5.0,52.0,33.99,-118.03634464747839,3.6875,1271.0,1.752
1,1.0590088778471483,2.2848837209302326,5.0,44.0,33.83,-118.13,3.125,786.0,3.147
2,1.1264915461391816,2.6310880829015546,5.0,26.0,38.09,-122.23,3.125,1624.4965165939593,0.9
3,0.9533565916819899,3.0,3.161290322580645,38.0,34.02,-118.26,1.5652,1308.0,1.231
4,0.8816223569231365,2.235059760956175,4.637450199203188,41.0,34.03,-118.44,3.125,1363.2681641495128,3.509
5,0.8979460110919302,2.501098901098901,4.973626373626374,23.0,39.77,-121.6,2.3403,1096.6243730909864,0.873
6,1.0831610565433927,2.400728597449909,4.604735883424408,40.0,34.27,-119.26,3.6413,1318.0,2.127
7,1.1688636185869115,1.9859154929577465,4.843505477308295,52.0,37.77,-122.45,3.575,903.7440741421688,5.00001
8,1.1120340777434041,3.0,5.0,35.0,33.97,-117.51,3.6691,184.0,1.375
9,0.8707715252198991,4.5548872180451125,3.687218045112782,52.0,34.05,-118.11278605762057,3.125,3029.0,1.107
10,1.2189600901075455,3.0,5.0,52.0,34.09,-118.22702768223611,2.3971,583.0,1.889
11,0.8400835341658013,2.1181262729124235,4.540733197556008,40.0,37.48,-122.24,3.125,2080.0,3.619
12,1.050084209720266,3.0,5.0231548480463095,16.0,33.86,-117.78,4.1064,1769.0,2.461
13,0.8817277219056674,3.8296422487223167,3.635434412265758,52.0,33.95,-118.21,3.125,1363.5932563994593,1.534
14,1.1559442166145928,3.0,5.572815533980583,27.0,34.04,-117.8961987435455,3.125,321.0,1.865
15,1.1995104642957255,1.7103274559193955,3.4924433249370277,52.0,35.28,-120.66,1.4036,1358.0,2.096
16,1.0367238262590721,2.711815561959654,5.29971181556196,20.0,34.96407436157514,-118.81,4.1607,1882.0,1.968
17,1.2397209333326824,3.0,7.174083769633508,18.0,34.28,-118.54,3.125,2477.0,3.772
18,0.8351219047058187,3.0,3.676737160120846,48.0,38.58,-121.48,1.6277,1281.0,1.406
19,1.0998015261281662,3.0,5.0,2.0,34.12,-117.17,5.4138,1275.0,1.644
20,1.0985373646280543,2.5412371134020617,5.0,33.0,33.73,-118.31,5.4533,986.0,4.098
21,1.1654769921596486,2.6612377850162865,5.234527687296417,52.0,35.35,-119.04,2.5644,1213.7442550482465,0.73
22,0.9874955541866886,2.3858267716535435,5.429790026246719,21.0,37.6382063600942,-121.97,3.125,3636.0,3.021
23,1.079127862481931,2.470059880239521,5.0,37.0,33.83,-117.96410783381133,4.0603,825.0,2.252
24,1.0375565066124626,3.0,5.058405682715075,15.0,34.1,-117.87,3.875,1822.041715169098,1.733
25,1.1052185855503627,1.8037735849056604,4.581132075471698,35.0,33.99,-118.46,4.0156,478.0,5.00001
26,0.9906019190877284,3.0,3.399568034557235,32.0,34.95,-120.45,3.125,1772.0,0.902
27,1.1504667943991311,3.1732851985559565,5.88086642599278,10.0,34.02,-117.64,4.0611,2637.0,1.58
28,1.3647457463896426,2.9573617588274486,7.307128580946036,18.0,32.81,-116.99,3.125,4439.0,2.5
29,1.1704260670734499,2.7985611510791366,6.086330935251799,36.0,33.863748568276804,-118.31,5.0865,1456.4739373809516,3.496
30,1.4372539698187392,3.0,5.9301533219761495,20.0,35.73601843423535,-119.19122519607535,1.4,1694.0,0.777
31,0.983492189447027,2.9244444444444446,5.0,37.0,37.66,-122.41,4.6103,1483.3784989398573,2.375
32,1.189918981188569,3.1866404715127703,3.913555992141454,28.0,34.44,-119.82,2.7689,1622.0,2.282
33,1.1689830596052282,2.6534788540245566,5.409276944065485,14.0,36.56,-119.96193482960061,2.6906,1945.0,0.953
34,1.3556841956836383,3.0,6.716012084592145,52.0,35.802725335973605,-119.51126903788975,3.125,942.0,1.524
35,1.1480840349010624,4.934865900383142,5.0,45.0,33.98,-118.24,3.125,1288.0,1.25
36,0.6676408655137838,1.8535031847133758,3.0764331210191083,52.0,37.97153745813628,-122.26,3.125,291.0,2.563
37,1.2385351946268823,3.0,5.427184466019417,52.0,36.06,-119.31,1.8827,1095.9002837645694,0.487
38,1.2908065114774416,1.8615023474178405,7.39906103286385,32.0,36.6,-121.95,7.1198,1495.5333472861985,4.699
39,1.21857597258367,1.986254295532646,6.261168384879725,52.0,34.23959325421964,-119.0,5.4346,578.0,4.286
40,1.4935856005238186,3.0,5.914572864321608,16.0,38.87,-122.64,1.5739,519.0,0.735
41,1.1280567176714538,3.0,4.582491582491582,32.0,35.38,-118.97,1.625,1483.0,0.468
42,1.2167986814931648,1.7849264705882353,4.523897058823529,26.0,33.77,-118.08,2.1944,971.0,0.875
43,0.9198447008638393,2.583623693379791,3.797909407665505,52.0,34.19,-118.4,3.0395,1483.0,1.913
44,1.1123665239673688,3.168103448275862,5.418103448275862,43.0,33.99,-118.32,3.7167,735.0,1.089
45,1.1197751817549584,3.0,5.610955056179775,9.0,36.82,-119.85,3.3239,1691.0,0.913
46,1.059957295911639,2.5987654320987654,5.0,37.0,40.732119577019816,-124.15,3.0216,1178.714957285758,0.864
47,0.9646964840440173,2.440107671601615,5.837146702557201,10.0,37.67,-121.3702132620372,5.5,1813.0,2.472
48,1.1850743967361552,2.2172131147540983,4.278688524590164,52.0,37.76,-122.90733275196118,2.6803,1082.0,4.9
49,0.8788669418477735,2.273381294964029,4.201438848920863,40.0,37.95432511561623,-122.03,3.125,316.0,2.435
50,1.0265641069043294,2.8956228956228958,5.057239057239057,52.0,38.30785425713712,-122.0,3.3438,860.0,1.356
51,1.2262028940078782,3.0,5.0,52.0,35.715940946063796,-119.54364832374961,1.6198,1163.5979599419898,1.227
52,1.130487985920622,4.25,5.0,35.0,33.81,-117.77897345665217,3.125,884.0,1.774
53,1.0397943980898745,3.6029850746268655,4.391044776119403,52.0,33.8,-118.28,3.125,1207.0,1.655
54,1.0151225334923542,3.1951219512195124,7.146341463414634,27.0,34.37,-118.54,7.6059,917.0,3.237
55,1.0399791048324847,3.0112570356472794,5.026266416510319,36.0,34.1,-118.08,3.5313,1605.0,2.132
56,1.1234368973426019,3.0,5.0,52.0,37.36,-121.99,3.2048,1469.0,2.618
57,1.3409208812588584,2.5549450549450547,6.975274725274725,52.0,34.19,-118.13,4.7269,930.0,3.039
58,1.1517449283500074,3.0,5.077142857142857,52.0,37.72720760078104,-121.49,3.125,1074.8351790335746,1.378
59,1.1299013912836156,3.0,5.0,26.0,33.88,-118.37,4.4828,1636.8942155261484,3.407
60,0.9817956304371958,2.4448529411764706,5.0,30.0,37.83,-122.13633596789263,6.5617,1330.0,3.866
61,0.9860662411732406,4.471947194719472,5.092409240924092,36.0,34.09,-117.73,3.5313,1355.0,1.178
62,1.1383624187702015,3.0,5.0,44.0,33.98,-118.27,3.125,2177.0,0.925
63,0.8765837593175245,3.0,3.9971264367816093,18.0,37.70495131277478,-121.41,3.089,1649.4676761467363,1.414
64,1.1740101994434458,3.0,6.7439024390243905,18.0,34.0,-117.64384549429425,5.5,215.0,1.938
65,1.2736811944188364,3.0,4.466424682395644,7.0,36.73,-120.73130035935023,1.4007,1587.0,2.25
